,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_features,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted,Self_loops,ROI_strl_thresh
0,SVC,Gender,random,t_test,baseline,num_streamlines,2,balanced_accuracy,70,94.828,95.745,96.512,99.314,75.21,74.194,75.0,88.655,False,0
1,SVC,Gender,random,t_test,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,78.466,77.419,78.125,89.391,False,0
2,SVC,Gender,random,t_test,baseline,num_streamlines,10,balanced_accuracy,349,97.414,97.872,98.225,99.855,73.739,72.581,73.846,90.021,False,0
3,SVC,Gender,random,t_test,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,84.034,83.871,82.759,91.492,False,0
4,SVC,Gender,random,t_test,baseline,num_streamlines,100,balanced_accuracy,3486,85.532,85.106,86.792,94.558,88.445,88.71,87.273,94.958,False,0
5,SVC,Gender,random,t_test,baseline,mean_strl,2,balanced_accuracy,70,82.852,84.397,87.356,89.074,68.697,67.742,68.75,73.634,False,0
6,SVC,Gender,random,t_test,baseline,mean_strl,5,balanced_accuracy,175,84.057,85.816,88.636,92.231,66.912,66.129,66.667,75.21,False,0
7,SVC,Gender,random,t_test,baseline,mean_strl,10,balanced_accuracy,349,99.138,99.291,99.401,100.0,65.126,64.516,64.516,78.204,False,0
8,SVC,Gender,random,t_test,baseline,mean_strl,50,balanced_accuracy,1743,98.795,98.582,98.78,98.92,70.378,70.968,66.667,82.038,False,0
9,SVC,Gender,random,t_test,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,77.521,77.419,75.862,88.866,False,0
10,SVC,Gender,random,fscores,baseline,mean_FA,2,balanced_accuracy,71,81.647,82.979,86.047,85.916,63.34,62.903,62.295,71.849,False,0
11,SVC,Gender,random,fscores,baseline,mean_FA,5,balanced_accuracy,175,81.647,82.979,86.047,87.599,63.34,62.903,62.295,74.475,False,0
12,SVC,Gender,random,fscores,baseline,mean_FA,10,balanced_accuracy,353,100.0,100.0,100.0,100.0,72.794,72.581,71.186,81.303,False,0
13,SVC,Gender,random,fscores,baseline,mean_FA,50,balanced_accuracy,1755,98.193,97.872,98.16,98.899,71.849,72.581,67.925,82.458,False,0
14,SVC,Gender,random,fscores,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,77.521,77.419,75.862,88.866,False,0
15,SVC,Gender,random,t_test,baseline,mean_FA,2,balanced_accuracy,70,82.852,84.397,87.356,89.074,68.697,67.742,68.75,73.634,False,0
16,SVC,Gender,random,t_test,baseline,mean_FA,5,balanced_accuracy,175,84.057,85.816,88.636,92.231,66.912,66.129,66.667,75.21,False,0
17,SVC,Gender,random,t_test,baseline,mean_FA,10,balanced_accuracy,349,99.138,99.291,99.401,100.0,65.126,64.516,64.516,78.204,False,0
18,SVC,Gender,random,t_test,baseline,mean_FA,50,balanced_accuracy,1743,98.795,98.582,98.78,98.92,70.378,70.968,66.667,82.038,False,0
19,SVC,Gender,random,t_test,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,77.521,77.419,75.862,88.866,False,0
20,SVC,Gender,random,fscores,baseline,mean_strl,2,balanced_accuracy,71,81.647,82.979,86.047,85.916,63.34,62.903,62.295,71.849,False,0
21,SVC,Gender,random,fscores,baseline,mean_strl,5,balanced_accuracy,175,81.647,82.979,86.047,87.599,63.34,62.903,62.295,74.475,False,0
22,SVC,Gender,random,fscores,baseline,mean_strl,10,balanced_accuracy,353,100.0,100.0,100.0,100.0,72.794,72.581,71.186,81.303,False,0
23,SVC,Gender,random,fscores,baseline,mean_strl,50,balanced_accuracy,1755,98.193,97.872,98.16,98.899,71.849,72.581,67.925,82.458,False,0
24,SVC,Gender,random,fscores,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,77.521,77.419,75.862,88.866,False,0
25,SVC,Gender,random,fscores,baseline,num_streamlines,2,balanced_accuracy,71,100.0,100.0,100.0,100.0,76.996,75.806,76.923,88.655,False,0
26,SVC,Gender,random,fscores,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,79.937,79.032,79.365,89.496,False,0
27,SVC,Gender,random,fscores,baseline,num_streamlines,10,balanced_accuracy,351,97.414,97.872,98.225,99.896,76.681,75.806,76.19,89.811,False,0
28,SVC,Gender,random,fscores,baseline,num_streamlines,50,balanced_accuracy,1775,100.0,100.0,100.0,100.0,85.504,85.484,84.211,92.437,False,0
29,SVC,Gender,random,fscores,baseline,num_streamlines,100,balanced_accuracy,3486,85.532,85.106,86.792,94.578,88.445,88.71,87.273,94.958,False,0
30,RF,Gender,random,t_test,baseline,num_streamlines,2,balanced_accuracy,70,100.0,100.0,100.0,100.0,72.269,70.968,72.727,85.609,False,0
31,RF,Gender,random,t_test,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,73.424,72.581,73.016,88.761,False,0
32,RF,Gender,random,t_test,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,69.013,67.742,69.697,87.553,False,0
33,RF,Gender,random,t_test,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,73.424,72.581,73.016,87.08,False,0
34,RF,Gender,random,t_test,baseline,num_streamlines,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,73.424,72.581,73.016,86.66,False,0
35,RF,Gender,random,t_test,baseline,mean_strl,2,balanced_accuracy,70,93.623,94.326,95.294,99.252,56.513,56.452,54.237,68.697,False,0
36,RF,Gender,random,t_test,baseline,mean_strl,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,58.298,58.065,56.667,68.172,False,0
37,RF,Gender,random,t_test,baseline,mean_strl,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,56.828,56.452,55.738,69.065,False,0
38,RF,Gender,random,t_test,baseline,mean_strl,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,57.143,56.452,57.143,71.324,False,0
39,RF,Gender,random,t_test,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,58.613,58.065,58.065,72.689,False,0
40,RF,Gender,random,fscores,baseline,mean_FA,2,balanced_accuracy,71,100.0,100.0,100.0,100.0,55.357,54.839,54.839,69.118,False,0
41,RF,Gender,random,fscores,baseline,mean_FA,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,55.672,54.839,56.25,68.592,False,0
42,RF,Gender,random,fscores,baseline,mean_FA,10,balanced_accuracy,353,100.0,100.0,100.0,100.0,55.357,54.839,54.839,69.38,False,0
43,RF,Gender,random,fscores,baseline,mean_FA,50,balanced_accuracy,1755,100.0,100.0,100.0,100.0,56.828,56.452,55.738,70.693,False,0
44,RF,Gender,random,fscores,baseline,mean_FA,100,balanced_accuracy,3486,96.811,97.163,97.619,99.813,56.828,56.452,55.738,71.849,False,0
45,RF,Gender,random,t_test,baseline,mean_FA,2,balanced_accuracy,70,97.933,97.872,98.182,99.875,64.496,64.516,62.069,74.58,False,0
46,RF,Gender,random,t_test,baseline,mean_FA,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,58.613,58.065,58.065,66.282,False,0
